bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,tahun,jumlah_jenis_aktif,kategori_risiko,ada_pencurian,ada_penipuan,ada_penganiayaan,ada_pembakaran,ada_perkosaan,ada_pengedar_penyalahgunaan_narkoba,ada_perjudian,ada_pembunuhan,ada_perdagangan_manusia
3204010.0,CIWIDEY,3204010001.0,PANUNDAAN,2019.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010001.0,PANUNDAAN,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010001.0,PANUNDAAN,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010002.0,CIWIDEY,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010002.0,CIWIDEY,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010002.0,CIWIDEY,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010003.0,PANYOCOKAN,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010003.0,PANYOCOKAN,2020.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010003.0,PANYOCOKAN,2021.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010004.0,LEBAKMUNCANG,2019.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010004.0,LEBAKMUNCANG,2020.0,3,SEDANG,1,1,0,0,0,0,1,0,0
3204010.0,CIWIDEY,3204010004.0,LEBAKMUNCANG,2021.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010005.0,RAWABOGO,2019.0,4,SEDANG,1,1,0,0,0,1,1,0,0
3204010.0,CIWIDEY,3204010005.0,RAWABOGO,2020.0,3,SEDANG,1,1,1,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010005.0,RAWABOGO,2021.0,2,RENDAH,1,0,0,0,0,0,1,0,0
3204010.0,CIWIDEY,3204010006.0,NENGKELAN,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010006.0,NENGKELAN,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010006.0,NENGKELAN,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010007.0,SUKAWENING,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010007.0,SUKAWENING,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204010.0,CIWIDEY,3204010007.0,SUKAWENING,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011001.0,CIPELAH,2019.0,1,RENDAH,0,0,0,0,1,0,0,0,0
3204011.0,RANCABALI,3204011001.0,CIPELAH,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011001.0,CIPELAH,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011002.0,SUKARESMI,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011002.0,SUKARESMI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011002.0,SUKARESMI,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011003.0,INDRAGIRI,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011003.0,INDRAGIRI,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011003.0,INDRAGIRI,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011004.0,PATENGAN,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011004.0,PATENGAN,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011004.0,PATENGAN,2021.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011005.0,ALAMENDAH,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011005.0,ALAMENDAH,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204011.0,RANCABALI,3204011005.0,ALAMENDAH,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020001.0,SUGIHMUKTI,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020001.0,SUGIHMUKTI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020001.0,SUGIHMUKTI,2021.0,2,RENDAH,1,0,0,0,0,1,0,0,0
3204020.0,PASIRJAMBU,3204020002.0,MARGAMULYA,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020002.0,MARGAMULYA,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020002.0,MARGAMULYA,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020003.0,TENJOLAYA,2019.0,9,TINGGI,1,1,1,1,1,1,1,1,1
3204020.0,PASIRJAMBU,3204020003.0,TENJOLAYA,2020.0,2,RENDAH,1,0,0,0,0,0,0,1,0
3204020.0,PASIRJAMBU,3204020003.0,TENJOLAYA,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020004.0,CISONDARI,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020004.0,CISONDARI,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020004.0,CISONDARI,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020005.0,MEKARSARI,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020005.0,MEKARSARI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020005.0,MEKARSARI,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020006.0,CIBODAS,2019.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020006.0,CIBODAS,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020006.0,CIBODAS,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020007.0,CUKANGGENTENG,2019.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020007.0,CUKANGGENTENG,2020.0,2,RENDAH,1,0,1,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020007.0,CUKANGGENTENG,2021.0,3,SEDANG,1,0,1,0,0,1,0,0,0
3204020.0,PASIRJAMBU,3204020008.0,PASIRJAMBU,2019.0,3,SEDANG,1,1,1,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020008.0,PASIRJAMBU,2020.0,4,SEDANG,1,1,1,0,0,0,0,1,0
3204020.0,PASIRJAMBU,3204020008.0,PASIRJAMBU,2021.0,4,SEDANG,1,1,1,0,0,0,0,1,0
3204020.0,PASIRJAMBU,3204020009.0,MEKARMAJU,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020009.0,MEKARMAJU,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020009.0,MEKARMAJU,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020010.0,CIKONENG,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020010.0,CIKONENG,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204020.0,PASIRJAMBU,3204020010.0,CIKONENG,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030001.0,CIKALONG,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030001.0,CIKALONG,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030001.0,CIKALONG,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030002.0,MEKARSARI,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030002.0,MEKARSARI,2020.0,7,TINGGI,1,1,1,0,0,1,1,1,1
3204030.0,CIMAUNG,3204030002.0,MEKARSARI,2021.0,2,RENDAH,1,0,1,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030003.0,CIPINANG,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030003.0,CIPINANG,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030003.0,CIPINANG,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030004.0,CIMAUNG,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030004.0,CIMAUNG,2020.0,3,SEDANG,1,1,0,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030004.0,CIMAUNG,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030005.0,CAMPAKAMULYA,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030005.0,CAMPAKAMULYA,2020.0,5,TINGGI,1,1,1,0,0,0,1,1,0
3204030.0,CIMAUNG,3204030005.0,CAMPAKAMULYA,2021.0,2,RENDAH,1,0,0,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030006.0,PASIRHUNI,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030006.0,PASIRHUNI,2020.0,1,RENDAH,0,0,0,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030006.0,PASIRHUNI,2021.0,2,RENDAH,1,0,0,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030007.0,JAGABAYA,2019.0,2,RENDAH,1,0,0,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030007.0,JAGABAYA,2020.0,5,TINGGI,1,1,1,0,0,1,1,0,0
3204030.0,CIMAUNG,3204030007.0,JAGABAYA,2021.0,4,SEDANG,1,1,1,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030008.0,MALASARI,2019.0,4,SEDANG,1,1,1,0,0,0,1,0,0
3204030.0,CIMAUNG,3204030008.0,MALASARI,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030008.0,MALASARI,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030009.0,SUKAMAJU,2019.0,1,RENDAH,0,0,0,0,0,1,0,0,0
3204030.0,CIMAUNG,3204030009.0,SUKAMAJU,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030009.0,SUKAMAJU,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030010.0,WARJABAKTI,2019.0,2,RENDAH,1,0,0,0,0,1,0,0,0
3204030.0,CIMAUNG,3204030010.0,WARJABAKTI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204030.0,CIMAUNG,3204030010.0,WARJABAKTI,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040001.0,WANASUKA,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040001.0,WANASUKA,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040001.0,WANASUKA,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040002.0,BANJARSARI,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040002.0,BANJARSARI,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040002.0,BANJARSARI,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040003.0,MARGALUYU,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040003.0,MARGALUYU,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040003.0,MARGALUYU,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040004.0,SUKALUYU,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040004.0,SUKALUYU,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040004.0,SUKALUYU,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040005.0,WARNASARI,2019.0,2,RENDAH,1,0,0,0,0,0,1,0,0
3204040.0,PANGALENGAN,3204040005.0,WARNASARI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040005.0,WARNASARI,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040006.0,PULOSARI,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040006.0,PULOSARI,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040006.0,PULOSARI,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040007.0,MARGAMEKAR,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040007.0,MARGAMEKAR,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040007.0,MARGAMEKAR,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040008.0,SUKAMANAH,2019.0,3,SEDANG,1,1,0,0,0,0,1,0,0
3204040.0,PANGALENGAN,3204040008.0,SUKAMANAH,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040008.0,SUKAMANAH,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040009.0,MARGAMUKTI,2019.0,4,SEDANG,1,1,1,0,0,0,1,0,0
3204040.0,PANGALENGAN,3204040009.0,MARGAMUKTI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040009.0,MARGAMUKTI,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040010.0,PANGALENGAN,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040010.0,PANGALENGAN,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040010.0,PANGALENGAN,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040011.0,MARGAMULYA,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040011.0,MARGAMULYA,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040011.0,MARGAMULYA,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040012.0,TRIBAKTIMULYA,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040012.0,TRIBAKTIMULYA,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040012.0,TRIBAKTIMULYA,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040013.0,LAMAJANG,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040013.0,LAMAJANG,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204040.0,PANGALENGAN,3204040013.0,LAMAJANG,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050001.0,NEGLAWANGI,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050001.0,NEGLAWANGI,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050001.0,NEGLAWANGI,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050002.0,SANTOSA,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050002.0,SANTOSA,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050002.0,SANTOSA,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050003.0,TARUMAJAYA,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050003.0,TARUMAJAYA,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050003.0,TARUMAJAYA,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050004.0,CIKEMBANG,2019.0,2,RENDAH,1,1,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050004.0,CIKEMBANG,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050004.0,CIKEMBANG,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050005.0,CIBEUREUM,2019.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050005.0,CIBEUREUM,2020.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050005.0,CIBEUREUM,2021.0,1,RENDAH,1,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050006.0,CIHAWUK,2019.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050006.0,CIHAWUK,2020.0,0,AMAN,0,0,0,0,0,0,0,0,0
3204050.0,KERTASARI,3204050006.0,CIHAWUK,2021.0,0,AMAN,0,0,0,0,0,0,0,0,0
